eps	abs_m	Cv	chi
-1.84	0.91	0	0
-1.805	0.885	0.001225	0.00015625
-1.76667	0.856667	0.00375556	0.000505556
-1.7625	0.8475	0.00286875	0.000442188
-1.744	0.84	0.003664	0.00041
-1.75	0.846667	0.00323333	0.000397222
-1.75143	0.847143	0.00278367	0.000340816
-1.7625	0.855	0.00329375	0.00040625
-1.76556	0.858889	0.00300247	0.000391358
-1.766	0.858	0.002704	0.000354
-1.75545	0.849091	0.00357025	0.000520248
-1.74417	0.8425	0.00467431	0.000596354
-1.74308	0.843077	0.00432899	0.000551479
-1.74929	0.847857	0.00452092	0.000586352
-1.748	0.844667	0.00424267	0.000582889
-1.74563	0.84125	0.00406211	0.000590234
-1.73588	0.830588	0.00534187	0.00101021
-1.73222	0.826111	0.00527284	0.00103927
-1.72789	0.825263	0.00533241	0.000987812
-1.729	0.8265	0.005089	0.000945687
-1.73381	0.83	0.0053093	0.000961905
-1.73636	0.832273	0.00520496	0.0009453
-1.7413	0.835652	0.00551569	0.000967013
-1.74208	0.836667	0.00529983	0.000932639
-1.7444	0.8384	0.00521664	0.00091336
-1.74808	0.841154	0.00535399	0.000925629
-1.74815	0.841481	0.00515583	0.000892044
-1.7525	0.843929	0.00548304	0.000900606
-1.75552	0.846207	0.00554887	0.000905886
-1.75533	0.845667	0.00536489	0.000877806
-1.75323	0.844194	0.00532508	0.000865765
-1.75219	0.843437	0.00519209	0.00084314
-1.75333	0.844242	0.00507677	0.000822773
-1.75265	0.843529	0.00494299	0.000802768
-1.75314	0.844286	0.00481012	0.000784694
-1.75444	0.845556	0.0047358	0.000777006
-1.75432	0.846216	0.00460833	0.000759934
-1.75447	0.845789	0.00448788	0.00074162
-1.75615	0.847179	0.00448008	0.00074096
-1.75925	0.8495	0.00474194	0.000774937
-1.76146	0.85122	0.00482225	0.000785604
-1.75976	0.849762	0.00482613	0.000788676
-1.75907	0.849535	0.00473402	0.000770876
-1.75932	0.849773	0.00462908	0.000753964
-1.76	0.850222	0.00454667	0.000739432
-1.75717	0.848696	0.00480723	0.000749575
-1.75234	0.845319	0.00577963	0.000864735
-1.74917	0.842917	0.00613264	0.00091454
-1.74735	0.84102	0.00616643	0.000939025
-1.748	0.8404	0.006064	0.00092496
-1.74784	0.838627	0.00594633	0.000946098
-1.74788	0.837308	0.00583206	0.000950111
-1.74679	0.834151	0.00578405	0.00106173
-1.74296	0.83	0.00645418	0.00127037
-1.74073	0.827636	0.00660674	0.00132269
-1.74089	0.826607	0.00649027	0.00131364
-1.74158	0.825965	0.00640277	0.00129637
-1.74069	0.823966	0.00633746	0.00133098
-1.73814	0.822203	0.00660839	0.00135345
-1.73383	0.8185	0.00759031	0.00153319
-1.73246	0.817377	0.0075792	0.00152697
-1.73226	0.817258	0.00745942	0.00150256
-1.73111	0.816667	0.00742257	0.00148413
-1.73094	0.816563	0.0073085	0.00146111
-1.72954	0.815077	0.00732133	0.00147394
-1.72818	0.813788	0.00733003	0.00147861
-1.72701	0.812985	0.00731049	0.00146718
-1.72721	0.812941	0.00720543	0.00144563
-1.72623	0.812609	0.00716551	0.00142656
-1.72843	0.814429	0.0073961	0.00146331
-1.72972	0.815352	0.00740837	0.00145763
-1.73069	0.816389	0.00737313	0.00145646
-1.73219	0.817397	0.00743355	0.00145481
-1.73243	0.817703	0.00733733	0.00143686
-1.73227	0.818	0.00724153	0.00141933
-1.73132	0.817368	0.00721406	0.00140814
-1.73078	0.817273	0.00714225	0.00139002
-1.73026	0.816923	0.00707173	0.00137456
-1.72962	0.816709	0.00701378	0.00135805
-1.72912	0.816375	0.00694548	0.00134328
-1.72914	0.816667	0.00685975	0.0013284
-1.72878	0.816707	0.00678632	0.00131223
-1.73012	0.81759	0.00685179	0.0013124
-1.73083	0.818214	0.0068124	0.00130486
-1.73259	0.819529	0.00699095	0.00132583
-1.7343	0.820814	0.0071594	0.00134547
-1.73575	0.821954	0.00725663	0.00135795
-1.73716	0.822727	0.00734761	0.00135553
-1.73854	0.823933	0.0074327	0.00137226
-1.73922	0.824667	0.00739162	0.001369
-1.73934	0.825055	0.00731165	0.00135735
-1.73913	0.825217	0.0072362	0.00134319
-1.73882	0.825161	0.00716742	0.00132882
-1.73915	0.825319	0.0071014	0.00131527
-1.73926	0.825368	0.00702788	0.00130148
-1.73979	0.825938	0.00698121	0.00129561
-1.73918	0.825567	0.00694571	0.00128555
-1.7398	0.826122	0.0069122	0.00127991
-1.74111	0.827172	0.0070119	0.00129396
-1.7421	0.828	0.00703859	0.001298
-1.74317	0.828812	0.00708303	0.00130163
-1.74412	0.829314	0.00710461	0.00129523
-1.74515	0.830097	0.00714343	0.0012983
-1.74587	0.830769	0.0071281	0.00129745
-1.74705	0.831714	0.00720557	0.00130831
-1.74792	0.832547	0.00721833	0.00131418
-1.74832	0.832897	0.00716726	0.00130514
-1.74824	0.832963	0.00710153	0.00129318
-1.7478	0.832752	0.00705754	0.00128251
-1.74818	0.832909	0.00700942	0.00127152
-1.74901	0.833604	0.00702154	0.00127333
-1.74964	0.834018	0.00700344	0.00126672
-1.75018	0.834336	0.00697342	0.00125835
-1.75088	0.835	0.00696765	0.00125976
-1.75087	0.835043	0.00690707	0.00124886
-1.75052	0.834655	0.0068618	0.00124243
-1.75	0.834274	0.00683419	0.00123603
-1.74975	0.833644	0.00678383	0.00123715
-1.75017	0.833866	0.00674787	0.0012282
-1.75067	0.834333	0.00672122	0.00122447
-1.75066	0.834545	0.00666568	0.0012157
-1.75008	0.834344	0.00665163	0.00120696
-1.75024	0.834472	0.00660075	0.00119764
-1.74944	0.834113	0.00662791	0.00119194
-1.74968	0.83448	0.0065823	0.00118658
-1.75071	0.835317	0.00666378	0.00119908
-1.75126	0.835827	0.00664881	0.00119781
-1.75211	0.836484	0.00668852	0.00120218
-1.75326	0.837364	0.0068049	0.00121764
-1.75377	0.837769	0.00678656	0.00121356
-1.7545	0.838244	0.00680491	0.00121163
-1.75424	0.837879	0.0067623	0.00120683
-1.75429	0.83812	0.00671171	0.00119968
-1.7547	0.838507	0.00668461	0.00119571
