eps	abs_m	Cv	chi
-1.73	0.84	0	0
-1.665	0.8	0.000733507	0.000166667
-1.62	0.76	0.00119213	0.000444444
-1.6	0.73	0.00110243	0.000614583
-1.582	0.716	0.00110694	0.000573333
-1.57	0.711667	0.00104745	0.000487558
-1.55714	0.707143	0.00107001	0.000430697
-1.55	0.7025	0.000998264	0.000392578
-1.54222	0.688889	0.000971365	0.000503344
-1.533	0.674	0.00100712	0.000660833
-1.50636	0.645455	0.00214733	0.00144955
-1.48833	0.6275	0.00258922	0.00169813
-1.48385	0.617692	0.00243199	0.00168775
-1.48786	0.612857	0.00229459	0.00159885
-1.47933	0.600667	0.00231821	0.00170898
-1.4775	0.59625	0.00218207	0.00163265
-1.47	0.586471	0.00220997	0.00169601
-1.47056	0.587778	0.0020881	0.00160481
-1.46684	0.589474	0.0020213	0.00152574
-1.4635	0.589	0.00195707	0.0014499
-1.46524	0.592381	0.00187437	0.00140467
-1.46455	0.592273	0.00179092	0.00134084
-1.46783	0.593913	0.00175416	0.00128871
-1.46667	0.59125	0.00168644	0.00125201
-1.466	0.5912	0.00162083	0.00120193
-1.47077	0.597692	0.00165722	0.00126547
-1.47519	0.602222	0.00168386	0.00127418
-1.47714	0.605	0.00164169	0.00125037
-1.48103	0.61	0.0016587	0.00128017
-1.48067	0.607667	0.00160409	0.00125395
-1.47774	0.606774	0.0015969	0.00121599
-1.47844	0.603438	0.0015496	0.00121394
-1.4797	0.603333	0.00151145	0.00117719
-1.48029	0.601176	0.00146904	0.00115856
-1.47829	0.596571	0.00145088	0.00120056
-1.47639	0.588889	0.00143244	0.00138239
-1.47324	0.578108	0.00145557	0.00178088
-1.47184	0.569474	0.00142988	0.00202135
-1.46872	0.562051	0.0014576	0.0021876
-1.46775	0.557	0.00142751	0.00223656
-1.46561	0.551463	0.0014245	0.00230974
-1.46048	0.544524	0.00157817	0.00246042
-1.45581	0.538605	0.00169996	0.00255648
-1.45295	0.533636	0.00172236	0.00260894
-1.45089	0.530667	0.00171668	0.00259139
-1.44674	0.525652	0.0018139	0.00265292
-1.44106	0.517021	0.00203253	0.00295342
-1.43417	0.5025	0.00237835	0.00392426
-1.42571	0.48898	0.00292517	0.00475818
-1.4186	0.476	0.00329723	0.00552292
-1.41275	0.466471	0.00353015	0.00588759
-1.41038	0.461154	0.00351159	0.00592454
-1.40792	0.453774	0.00349997	0.00610779
-1.40556	0.444444	0.0034868	0.00647518
-1.40073	0.433091	0.00364195	0.00708253
-1.39696	0.421964	0.00371213	0.00766533
-1.39263	0.407544	0.00382951	0.00874389
-1.38655	0.392069	0.00412928	0.010015
-1.37966	0.374237	0.00453741	0.0117663
-1.37217	0.356333	0.00503709	0.0135403
-1.36836	0.340656	0.00510541	0.0148545
-1.365	0.325968	0.00514267	0.0159857
-1.3619	0.310476	0.00516416	0.0172819
-1.35594	0.295625	0.00547294	0.0184593
-1.35015	0.281692	0.00576041	0.0194694
-1.34515	0.267424	0.00595551	0.0205528
-1.3409	0.254179	0.00607418	0.0214522
-1.33706	0.242941	0.00615608	0.0220181
-1.33275	0.233478	0.00628567	0.0223333
-1.33157	0.226429	0.00621262	0.0223714
-1.33155	0.218451	0.00612512	0.0225204
-1.33097	0.211111	0.00604415	0.0226061
-1.32918	0.202877	0.0060016	0.0228049
-1.32743	0.195405	0.00595911	0.0229212
-1.32453	0.190667	0.00598764	0.0227887
-1.32039	0.186053	0.00613187	0.0226552
-1.31662	0.177662	0.0062399	0.0229183
-1.31372	0.167051	0.00627275	0.0235275
-1.31101	0.155823	0.00629246	0.0242541
-1.3095	0.144875	0.00624518	0.0249372
-1.30914	0.135432	0.00616992	0.0253724
-1.30659	0.124878	0.00618615	0.0260029
-1.30578	0.115181	0.00612078	0.0264928
-1.305	0.105833	0.00605675	0.0269328
-1.30388	0.0969412	0.00600371	0.0273078
-1.30395	0.0869767	0.00593398	0.0278694
-1.30299	0.077931	0.00587968	0.0282821
-1.30205	0.0695455	0.00582629	0.028598
-1.30034	0.0603371	0.00580542	0.0290539
-1.29878	0.051	0.00577848	0.0295394
-1.29648	0.041978	0.00579723	0.0299778
-1.2938	0.0329348	0.00584762	0.0304272
-1.29129	0.0229032	0.00588569	0.0310644
-1.28809	0.012766	0.00598895	0.0317295
-1.28726	0.004	0.00593693	0.0321479
-1.2851	0.003125	0.00595197	0.0323154
-1.28361	0.00927835	0.0059279	0.0323609
-1.28143	0.0147959	0.00594742	0.0323383
-1.28051	0.0192929	0.00590186	0.0322181
-1.2803	0.0227	0.00584356	0.0320156
-1.27881	0.0264356	0.00582415	0.031844
-1.27824	0.0298039	0.00577288	0.0316511
-1.27757	0.0348544	0.0057246	0.0316149
-1.27712	0.0407692	0.0056733	0.0316862
-1.27667	0.047619	0.00562291	0.0318928
-1.27528	0.0545283	0.00560476	0.032114
-1.27467	0.0606542	0.00555923	0.0322282
-1.27417	0.0671296	0.00551251	0.0323972
-1.27303	0.0725688	0.00548627	0.0324328
-1.27209	0.079	0.005453	0.0326076
-1.27198	0.0863964	0.0054041	0.0329407
-1.27179	0.0941964	0.00535659	0.03335
-1.27186	0.102035	0.00530929	0.0337718
-1.27175	0.108421	0.00526293	0.0339555
-1.27078	0.115217	0.00523585	0.0342088
-1.26914	0.121293	0.00524472	0.0343561
-1.26803	0.127778	0.00522443	0.0345705
-1.26695	0.134407	0.00520407	0.0348131
-1.26689	0.140588	0.00516041	0.0349902
-1.26692	0.145917	0.00511742	0.0350506
-1.26645	0.152479	0.00507973	0.0352993
-1.26541	0.158689	0.00506066	0.0354959
-1.26463	0.164959	0.00503226	0.035707
-1.2625	0.171694	0.00508894	0.0360001
-1.26088	0.17752	0.00510473	0.0361506
-1.25952	0.182381	0.00510413	0.0361714
-1.25827	0.187874	0.00509845	0.0362826
-1.25719	0.192266	0.00508435	0.0362543
-1.25597	0.197597	0.00507793	0.0363522
-1.25469	0.202231	0.00507537	0.0363611
-1.25344	0.207023	0.0050723	0.0363945
-1.2522	0.212273	0.00506874	0.0364949
-1.25135	0.216391	0.00504694	0.0364537
-1.25067	0.220373	0.00502	0.0364013
-1.2497	0.222593	0.00500461	0.0362005
-1.24846	0.224779	0.00500431	0.0360015
-1.24759	0.226934	0.00498543	0.0358045
-1.24703	0.228188	0.00495683	0.0355675
-1.24626	0.22964	0.00493537	0.0353419
-1.246	0.231429	0.00490174	0.0351358
-1.24475	0.233475	0.00490484	0.0349477
-1.2443	0.234366	0.00487539	0.0347132
-1.24406	0.235105	0.00484272	0.0344786
-1.2441	0.235764	0.00480913	0.0342456
-1.24393	0.235379	0.00477665	0.0340116
-1.24466	0.234041	0.00475722	0.0338057
-1.24578	0.232653	0.00475693	0.0336051
-1.24716	0.230946	0.00477338	0.0334226
-1.24812	0.229463	0.00476495	0.0332322
-1.2486	0.2292	0.00473913	0.0330117
-1.24828	0.228742	0.00471044	0.0327964
-1.24842	0.228618	0.00467999	0.0325809
-1.24778	0.22902	0.00466032	0.0323705
-1.24721	0.229416	0.00463869	0.0321628
-1.24671	0.230065	0.00461539	0.031962
-1.24731	0.229744	0.00459543	0.0317588
-1.24688	0.229618	0.00457114	0.0315568
-1.24703	0.228544	0.00454279	0.0313759
-1.24623	0.227799	0.00453173	0.0311877
-1.24525	0.227813	0.00452972	0.0309928
-1.24416	0.227081	0.0045345	0.0308092
-1.2434	0.226667	0.00452293	0.0306219
-1.24288	0.226196	0.00450254	0.0304378
-1.24195	0.226646	0.00449968	0.0302556
-1.24097	0.226485	0.00449984	0.0300727
-1.23988	0.225723	0.00450677	0.0299015
-1.2391	0.224671	0.00449722	0.0297416
-1.23839	0.223452	0.00448502	0.0295904
-1.23757	0.222485	0.00447804	0.0294317
-1.23718	0.221059	0.00445634	0.0292944
-1.23766	0.219649	0.0044372	0.0291582
-1.23814	0.217733	0.00441821	0.0290542
-1.23838	0.216012	0.00439442	0.0289393
-1.23879	0.21454	0.00437425	0.028812
-1.23903	0.212743	0.00435093	0.0287059
-1.23903	0.210625	0.00432621	0.0286245
-1.23859	0.208757	0.00430786	0.0285268
-1.23843	0.20691	0.00428445	0.0284294
-1.23799	0.205642	0.00426645	0.0283004
-1.23756	0.205556	0.00424858	0.0281433
-1.23619	0.20547	0.00428356	0.027988
-1.23484	0.205714	0.00431752	0.0278353
-1.23339	0.206776	0.0043601	0.0277046
-1.23234	0.207717	0.0043715	0.0275709
-1.23146	0.209081	0.00437247	0.0274575
-1.23091	0.210484	0.00435852	0.0273478
-1.23016	0.211872	0.00435355	0.0272389
-1.22899	0.21367	0.00437492	0.027157
-1.2272	0.216032	0.00445677	0.0271225
-1.22642	0.216421	0.004453	0.0269828
-1.22623	0.216806	0.00443089	0.0268444
-1.22573	0.217031	0.00441614	0.0267056
-1.22539	0.216736	0.00439712	0.026569
-1.22469	0.216237	0.00439078	0.026437
-1.22451	0.215026	0.00436933	0.0263311
-1.22444	0.213724	0.00434722	0.0262312
-1.22426	0.213046	0.00432619	0.0261074
-1.22394	0.212374	0.00430795	0.0259848
-1.22417	0.21201	0.00428814	0.025857
-1.22375	0.21135	0.00427282	0.0257367
-1.22284	0.210846	0.00428058	0.025614
-1.22173	0.210396	0.00430185	0.0254914
-1.22059	0.210246	0.00432636	0.0253663
-1.21931	0.210588	0.00436266	0.0252444
-1.21829	0.210439	0.0043783	0.0251218
-1.21801	0.209709	0.0043599	0.0250112
-1.21841	0.207198	0.00434445	0.0250257
-1.21837	0.204808	0.00432362	0.0250285
-1.21866	0.20244	0.00430607	0.0250302
-1.21852	0.200143	0.00428625	0.0250259
-1.21919	0.197441	0.00428232	0.0250671
-1.21976	0.194528	0.00427402	0.0251352
-1.22038	0.191784	0.00426771	0.0251835
-1.22112	0.189252	0.00426834	0.0252081
-1.22251	0.186279	0.00432029	0.0252879
-1.22366	0.182917	0.00434929	0.025424
-1.22507	0.179724	0.00440398	0.0255363
-1.22583	0.176835	0.00440534	0.0256078
-1.22626	0.174292	0.00439223	0.0256376
-1.22686	0.171955	0.00438631	0.0256458
-1.22751	0.169367	0.00438249	0.0256832
-1.22811	0.166757	0.00437641	0.0257243
-1.22861	0.164753	0.00436649	0.0257018
-1.22902	0.162946	0.00435344	0.0256629
-1.22947	0.1608	0.00434193	0.0256563
-1.23	0.158938	0.00433382	0.0256241
-1.23079	0.156828	0.0043394	0.025616
-1.23145	0.154737	0.00433725	0.025607
-1.23192	0.153362	0.0043272	0.0255401
-1.23217	0.152652	0.00431092	0.0254411
-1.23225	0.151775	0.0042925	0.0253494
-1.23216	0.151336	0.00427437	0.0252447
-1.23197	0.150987	0.00425734	0.0251393
-1.23158	0.151197	0.0042454	0.025033
-1.23149	0.152	0.00422767	0.0249422
-1.23148	0.152881	0.00420976	0.0248555
-1.23139	0.154388	0.00419234	0.0248065
-1.23122	0.156471	0.00417596	0.0248093
-1.23067	0.158619	0.00417095	0.0248199
-1.23071	0.160875	0.00415363	0.0248432
-1.23054	0.164149	0.00413758	0.0250081
-1.23041	0.167355	0.00412115	0.0251628
-1.22996	0.1707	0.00411287	0.0253412
-1.23	0.173689	0.00409608	0.0254635
-1.22931	0.176939	0.00409976	0.0256281
-1.2289	0.179919	0.00409003	0.0257505
-1.2285	0.183036	0.00408031	0.0258953
-1.22819	0.18625	0.00406816	0.0260566
-1.22727	0.189438	0.00408798	0.0262145
-1.2268	0.19248	0.00408114	0.0263497
-1.22665	0.195339	0.00406581	0.0264575
-1.22659	0.198452	0.00404987	0.026606
-1.22656	0.201542	0.00403389	0.0267514
-1.22642	0.204488	0.00401892	0.0268749
-1.22604	0.207529	0.00400946	0.0270142
-1.22566	0.210547	0.00400003	0.0271505
-1.2251	0.213035	0.00399875	0.02721
-1.22457	0.215465	0.00399548	0.0272626
-1.22409	0.217838	0.00399042	0.0273086
-1.22419	0.219769	0.00397551	0.0273042
