# L 	 T 	 n 	 eps 	 Cv 	 abs_m 	 chi
20	2.100000e+00	100000	-1.663761e+00	2.327406e-03	8.711557e-01	1.904568e-03
20	2.115789e+00	100000	-1.648291e+00	2.452266e-03	8.624164e-01	2.272102e-03
20	2.131579e+00	100000	-1.630969e+00	2.638009e-03	8.505530e-01	3.145289e-03
20	2.147368e+00	100000	-1.615019e+00	2.724047e-03	8.411732e-01	3.659788e-03
20	2.163158e+00	100000	-1.597000e+00	2.825023e-03	8.297740e-01	3.934121e-03
20	2.178947e+00	100000	-1.578387e+00	3.015910e-03	8.150553e-01	5.616440e-03
20	2.194737e+00	100000	-1.558002e+00	3.223322e-03	7.999105e-01	6.623103e-03
20	2.210526e+00	100000	-1.535374e+00	3.452771e-03	7.808778e-01	8.100399e-03
20	2.226316e+00	100000	-1.508635e+00	3.761145e-03	7.519549e-01	1.146970e-02
20	2.242105e+00	100000	-1.487119e+00	3.805807e-03	7.338162e-01	1.258914e-02
20	2.257895e+00	100000	-1.467728e+00	3.828735e-03	7.213612e-01	1.191979e-02
20	2.273684e+00	100000	-1.443547e+00	3.966513e-03	6.957241e-01	1.460672e-02
20	2.289474e+00	100000	-1.417612e+00	4.006776e-03	6.679290e-01	1.632751e-02
20	2.305263e+00	100000	-1.386950e+00	4.226444e-03	6.274917e-01	2.034821e-02
20	2.321053e+00	100000	-1.368023e+00	4.051066e-03	6.145792e-01	1.946875e-02
20	2.336842e+00	100000	-1.338875e+00	4.058772e-03	5.785875e-01	2.134361e-02
20	2.352632e+00	100000	-1.307600e+00	3.919919e-03	5.386650e-01	2.202685e-02
20	2.368421e+00	100000	-1.285851e+00	3.820894e-03	5.109155e-01	2.320474e-02
20	2.384211e+00	100000	-1.263355e+00	3.583097e-03	4.884512e-01	2.158479e-02
20	2.400000e+00	100000	-1.239065e+00	3.483451e-03	4.620319e-01	2.139155e-02
40	2.100000e+00	100000	-1.661208e+00	6.206564e-04	8.671518e-01	7.605399e-04
40	2.115789e+00	100000	-1.646050e+00	6.573519e-04	8.586763e-01	9.753129e-04
40	2.131579e+00	100000	-1.628832e+00	7.031869e-04	8.459173e-01	1.695643e-03
40	2.147368e+00	100000	-1.612717e+00	7.210721e-04	8.363794e-01	1.620519e-03
40	2.163158e+00	100000	-1.594488e+00	7.523501e-04	8.252274e-01	1.382775e-03
40	2.178947e+00	100000	-1.574622e+00	8.112633e-04	8.095647e-01	1.802064e-03
40	2.194737e+00	100000	-1.552636e+00	8.946227e-04	7.879482e-01	3.529406e-03
40	2.210526e+00	100000	-1.529713e+00	9.639002e-04	7.657468e-01	4.462750e-03
40	2.226316e+00	100000	-1.501490e+00	1.110125e-03	7.259386e-01	8.405722e-03
40	2.242105e+00	100000	-1.482420e+00	1.043365e-03	7.190188e-01	5.719952e-03
40	2.257895e+00	100000	-1.448728e+00	1.240019e-03	6.598707e-01	1.231653e-02
40	2.273684e+00	100000	-1.418218e+00	1.279722e-03	6.167097e-01	1.417980e-02
40	2.289474e+00	100000	-1.386666e+00	1.317561e-03	5.575475e-01	1.840901e-02
40	2.305263e+00	100000	-1.357245e+00	1.246159e-03	5.078503e-01	1.920645e-02
40	2.321053e+00	100000	-1.324036e+00	1.176374e-03	4.393804e-01	2.052898e-02
40	2.336842e+00	100000	-1.295572e+00	1.107375e-03	3.845410e-01	1.968092e-02
40	2.352632e+00	100000	-1.274397e+00	1.006414e-03	3.652180e-01	1.709798e-02
40	2.368421e+00	100000	-1.250104e+00	9.158644e-04	3.109673e-01	1.656023e-02
40	2.384211e+00	100000	-1.226721e+00	8.109125e-04	2.717072e-01	1.327957e-02
40	2.400000e+00	100000	-1.204305e+00	7.320238e-04	2.324539e-01	1.107346e-02
60	2.100000e+00	100000	-1.654982e+00	4.258859e-04	8.341119e-01	1.036366e-02
60	2.115789e+00	100000	-1.639709e+00	4.158991e-04	8.303978e-01	8.028290e-03
60	2.131579e+00	100000	-1.623456e+00	4.064686e-04	8.248492e-01	5.724668e-03
60	2.147368e+00	100000	-1.606912e+00	4.130220e-04	8.159993e-01	5.419369e-03
60	2.163158e+00	100000	-1.588201e+00	4.269977e-04	8.032013e-01	4.819902e-03
60	2.178947e+00	100000	-1.569067e+00	4.355760e-04	7.872679e-01	5.608017e-03
60	2.194737e+00	100000	-1.543933e+00	5.292365e-04	7.527551e-01	8.852310e-03
60	2.210526e+00	100000	-1.525616e+00	4.718495e-04	7.501520e-01	5.024952e-03
60	2.226316e+00	100000	-1.500680e+00	5.075502e-04	7.181383e-01	7.780190e-03
60	2.242105e+00	100000	-1.473096e+00	5.594441e-04	6.762101e-01	9.814541e-03
60	2.257895e+00	100000	-1.442547e+00	6.174285e-04	6.186045e-01	1.518148e-02
60	2.273684e+00	100000	-1.407555e+00	6.275041e-04	5.515083e-01	1.494937e-02
60	2.289474e+00	100000	-1.378976e+00	6.304542e-04	4.954664e-01	1.753383e-02
60	2.305263e+00	100000	-1.340035e+00	5.306047e-04	3.887943e-01	1.762557e-02
60	2.321053e+00	100000	-1.315937e+00	5.126290e-04	3.534653e-01	1.570796e-02
60	2.336842e+00	100000	-1.290656e+00	4.610138e-04	3.105076e-01	1.301563e-02
60	2.352632e+00	100000	-1.265024e+00	4.215697e-04	2.564796e-01	1.193869e-02
60	2.368421e+00	100000	-1.243559e+00	3.696576e-04	2.125437e-01	9.382223e-03
60	2.384211e+00	100000	-1.222669e+00	3.341110e-04	1.915551e-01	7.178221e-03
60	2.400000e+00	100000	-1.205593e+00	3.321165e-04	1.810620e-01	6.908388e-03
80	2.100000e+00	100000	-1.654192e+00	2.670441e-04	8.307448e-01	7.291296e-03
80	2.115789e+00	100000	-1.636275e+00	3.030163e-04	8.018057e-01	1.433229e-02
80	2.131579e+00	100000	-1.617220e+00	3.440250e-04	7.774734e-01	1.597633e-02
80	2.147368e+00	100000	-1.605059e+00	2.910681e-04	7.956964e-01	9.609191e-03
80	2.163158e+00	100000	-1.585769e+00	3.170856e-04	7.810847e-01	9.207630e-03
80	2.178947e+00	100000	-1.569320e+00	2.760234e-04	7.833570e-01	5.527029e-03
80	2.194737e+00	100000	-1.539590e+00	4.212777e-04	6.901699e-01	2.570516e-02
80	2.210526e+00	100000	-1.517855e+00	4.021111e-04	6.944083e-01	1.508997e-02
80	2.226316e+00	100000	-1.499355e+00	3.486414e-04	7.051829e-01	8.961146e-03
80	2.242105e+00	100000	-1.468957e+00	3.666696e-04	6.544026e-01	8.659502e-03
80	2.257895e+00	100000	-1.445120e+00	3.544329e-04	6.209853e-01	1.141405e-02
80	2.273684e+00	100000	-1.409221e+00	3.824242e-04	5.507393e-01	1.164089e-02
80	2.289474e+00	100000	-1.368620e+00	3.413423e-04	4.206486e-01	1.469256e-02
80	2.305263e+00	100000	-1.342350e+00	3.426755e-04	3.675944e-01	1.670077e-02
80	2.321053e+00	100000	-1.310314e+00	2.822805e-04	2.646704e-01	1.262798e-02
80	2.336842e+00	100000	-1.286306e+00	2.424804e-04	2.206804e-01	1.011395e-02
80	2.352632e+00	100000	-1.262743e+00	2.122288e-04	1.842308e-01	6.888042e-03
80	2.368421e+00	100000	-1.242170e+00	1.935851e-04	1.602543e-01	5.366196e-03
80	2.384211e+00	100000	-1.222469e+00	1.836942e-04	1.428310e-01	4.453264e-03
80	2.400000e+00	100000	-1.203530e+00	1.735693e-04	1.264453e-01	3.596974e-03
